epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,4049.09,1.76185,2.66292,1.40924,0.00779,1.24176,0.68268,0.49137,0.60747,0.39648,0.67541,0.48577,0.59996,0.36764,1.66855,2.52685,1.33357,0.00927,0,0.000366172,0.000366172,0.000366172
2,8091.45,1.77846,2.68593,1.42225,0.00792,1.25521,0.70772,0.45571,0.59891,0.37948,0.69667,0.44851,0.58881,0.35948,1.74096,2.56529,1.37622,0.00998,0,0.000590678,0.000590678,0.000590678
3,12170.6,1.78076,2.69444,1.4313,0.00798,1.27188,0.70527,0.45929,0.59969,0.38536,0.69826,0.45461,0.59386,0.36114,1.71944,2.60228,1.38187,0.00991,0,0.000668531,0.000668531,0.000668531
4,16207.9,1.77786,2.69073,1.41823,0.00795,1.26416,0.70608,0.47297,0.60862,0.39577,0.69843,0.46794,0.60058,0.37111,1.68501,2.53511,1.32984,0.00948,0,0.000451066,0.000451066,0.000451066
5,20302.8,1.77043,2.67146,1.39891,0.0078,1.20839,0.70008,0.49128,0.61786,0.408,0.69318,0.4862,0.6105,0.37945,1.63203,2.47591,1.30296,0.00904,0,0.000231088,0.000231088,0.000231088
