epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,477.057,1.76745,2.66802,1.41761,0.00786,1.25119,0.71236,0.45331,0.60503,0.40384,0.70335,0.44757,0.5971,0.37491,1.64457,2.44317,1.33207,0.00924,0,0.000365117,0.000365117,0.000365117
2,931.048,1.75989,2.65342,1.41836,0.0079,1.28396,0.65274,0.46753,0.585,0.38588,0.63891,0.45762,0.57248,0.35283,1.65592,2.51727,1.37741,0.00946,0,0.000720889,0.000720889,0.000720889
3,1401.3,1.81015,2.72679,1.4532,0.00813,1.3724,0.62035,0.4727,0.57583,0.36692,0.61098,0.46571,0.56745,0.34003,1.71471,2.52114,1.42153,0.00982,0,0.00106199,0.00106199,0.00106199
4,1849.97,1.78184,2.67454,1.45081,0.00808,1.32667,0.73926,0.40692,0.59072,0.39551,0.72493,0.39965,0.5786,0.35927,1.69694,2.58037,1.4039,0.00974,0,0.00104501,0.00104501,0.00104501
5,2303.93,1.81371,2.7234,1.45635,0.00824,1.29099,0.66636,0.43744,0.57352,0.36664,0.65004,0.42779,0.56046,0.34075,1.74312,2.565,1.42465,0.01016,0,0.00102301,0.00102301,0.00102301
6,2740.56,1.83093,2.72326,1.44966,0.00823,1.35445,0.62847,0.47338,0.57777,0.36567,0.618,0.46626,0.56645,0.33284,1.71316,2.54601,1.43275,0.01,0,0.00100101,0.00100101,0.00100101
7,3178.73,1.78676,2.69398,1.44401,0.00832,1.31127,0.63541,0.45999,0.57274,0.36421,0.62052,0.44995,0.56101,0.33452,1.71931,2.59786,1.45166,0.00999,0,0.000979013,0.000979013,0.000979013
8,3611.87,1.80511,2.70976,1.42962,0.00812,1.27659,0.65598,0.44789,0.5711,0.36181,0.64494,0.44116,0.56417,0.33694,1.7395,2.57371,1.4378,0.01023,0,0.000957015,0.000957015,0.000957015
9,4045.84,1.80905,2.71684,1.44271,0.00828,1.29876,0.69851,0.42395,0.5788,0.37233,0.68819,0.41826,0.56942,0.35144,1.71937,2.55925,1.42593,0.00997,0,0.000935018,0.000935018,0.000935018
10,4493.58,1.8026,2.71201,1.43494,0.00819,1.27336,0.659,0.45678,0.58245,0.37193,0.64715,0.44849,0.56946,0.34263,1.70915,2.54914,1.42448,0.00992,0,0.00091302,0.00091302,0.00091302
