epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,4100.84,1.78815,2.71819,1.45997,0.00803,1.36022,0.71955,0.44294,0.59717,0.39662,0.70976,0.43714,0.58927,0.36648,1.65744,2.49857,1.38976,0.00977,0,0.000366172,0.000366172,0.000366172
2,8142.38,1.77493,2.69453,1.44319,0.00803,1.30605,0.64917,0.4723,0.57798,0.36231,0.64077,0.46635,0.57167,0.33846,1.75532,2.60618,1.43441,0.01031,0,0.000590678,0.000590678,0.000590678
3,12170.4,1.78649,2.70169,1.45254,0.0081,1.32244,0.66358,0.46475,0.5843,0.36891,0.65742,0.46033,0.5777,0.34435,1.7345,2.60765,1.45098,0.01042,0,0.000668531,0.000668531,0.000668531
4,16202.4,1.78044,2.6987,1.4364,0.00805,1.27985,0.65268,0.47876,0.59086,0.37419,0.64394,0.47274,0.58315,0.35217,1.71397,2.5475,1.40634,0.01004,0,0.000451066,0.000451066,0.000451066
5,20216.5,1.75431,2.64788,1.40147,0.00782,1.20917,0.70157,0.48034,0.60978,0.39991,0.69314,0.47455,0.6029,0.3753,1.6665,2.44465,1.33725,0.00952,0,0.000231088,0.000231088,0.000231088
