epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
23,1356.62,1.85929,2.73575,1.51065,0.00836,1.36154,0.64855,0.41317,0.54752,0.33541,0.63111,0.40108,0.53346,0.30401,1.84021,2.78789,1.52549,0.01057,0,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,1413.93,1.83764,2.6876,1.49092,0.00834,1.35918,0.65719,0.40603,0.5426,0.33854,0.63609,0.39373,0.52745,0.30378,1.80937,2.77038,1.50928,0.01036,0,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,1471.63,1.86116,2.71367,1.48344,0.00827,1.32793,0.63288,0.40581,0.53164,0.33334,0.62168,0.39845,0.52376,0.30617,1.81231,2.77108,1.52619,0.01049,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
26,1529.1,1.85117,2.70889,1.48316,0.00831,1.31868,0.65122,0.4078,0.54387,0.33246,0.63131,0.39494,0.52808,0.29995,1.84414,2.78627,1.50188,0.01055,0,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
27,1586.8,1.84545,2.69574,1.4826,0.00829,1.33522,0.6865,0.38865,0.54826,0.34232,0.66499,0.37659,0.53285,0.31107,1.82085,2.72808,1.49364,0.01036,0,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
28,1644.29,1.84849,2.69702,1.48015,0.00826,1.31312,0.62957,0.42879,0.5432,0.33117,0.6139,0.41778,0.5309,0.30099,1.84086,2.74151,1.50925,0.01055,0,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
29,1701.98,1.84128,2.68483,1.47343,0.0083,1.30816,0.65656,0.41573,0.54969,0.34216,0.64103,0.40561,0.53784,0.30475,1.79346,2.77685,1.49631,0.01024,0,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
30,1759.33,1.83016,2.66025,1.46242,0.00831,1.30411,0.69291,0.37817,0.54524,0.34401,0.66848,0.36547,0.52762,0.30489,1.84079,2.78143,1.51824,0.01051,0,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043
31,1817.25,1.84271,2.68413,1.47091,0.00821,1.31969,0.66311,0.4137,0.54956,0.34031,0.6477,0.40415,0.53733,0.30702,1.82451,2.74851,1.49133,0.01041,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
32,1874.58,1.83721,2.68259,1.47361,0.00828,1.31991,0.69706,0.39812,0.56075,0.35533,0.67201,0.38362,0.54241,0.31804,1.82043,2.71011,1.47914,0.01038,0,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,1932.17,1.83383,2.66518,1.45724,0.00825,1.28282,0.67467,0.42224,0.5635,0.35271,0.65286,0.40859,0.54574,0.30858,1.79641,2.82166,1.4652,0.01019,0,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
