epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,1111.06,1.46559,2.69563,1.04875,1.09821,0,0.64855,0.38933,0.5409,0.33071,0.62792,0.37689,0.52375,0.30127,1.48061,2.69281,1.05565,1.09891,0,0.000368241,0.000368241,0.000368241
2,2155.84,1.50294,2.75178,1.08428,1.11347,0,0.60781,0.38085,0.5147,0.30867,0.58661,0.36721,0.49671,0.27917,1.5191,2.76989,1.11779,1.127,0,0.000665456,0.000665456,0.000665456
3,3190.84,1.52854,2.79906,1.10586,1.12724,0,0.53622,0.40716,0.49459,0.28859,0.53152,0.38578,0.47626,0.25695,1.54789,2.85662,1.13621,1.1315,0,0.000889344,0.000889344,0.000889344
4,4246.52,1.52612,2.79216,1.09641,1.12504,0,0.5738,0.40758,0.50815,0.30227,0.55821,0.39115,0.48963,0.27139,1.5019,2.77075,1.0979,1.12886,0,0.000781033,0.000781033,0.000781033
5,5302.52,1.50568,2.75351,1.07103,1.1154,0,0.65717,0.37429,0.53366,0.32771,0.63895,0.36385,0.51808,0.29711,1.47772,2.72118,1.06996,1.10621,0,0.000671044,0.000671044,0.000671044
6,6351.31,1.47717,2.69916,1.04372,1.10418,0,0.58545,0.42842,0.53184,0.3202,0.56417,0.4159,0.51357,0.29054,1.46547,2.67857,1.03855,1.09817,0,0.000561055,0.000561055,0.000561055
7,7409.55,1.45718,2.67177,1.02412,1.0955,0,0.66172,0.39713,0.55108,0.33979,0.64338,0.38575,0.5344,0.30996,1.45391,2.63717,1.02118,1.09821,0,0.000451066,0.000451066,0.000451066
8,8479.15,1.43714,2.63125,0.99868,1.08594,0,0.60452,0.43865,0.55061,0.33864,0.58362,0.42294,0.53022,0.30454,1.42382,2.59465,0.98545,1.07472,0,0.000341077,0.000341077,0.000341077
9,9805.72,1.41746,2.59945,0.97849,1.07739,0,0.62685,0.44005,0.56065,0.34743,0.60783,0.42633,0.54337,0.31609,1.40842,2.56744,0.96914,1.07302,0,0.000231088,0.000231088,0.000231088
10,11454.3,1.40038,2.56697,0.95976,1.07032,0,0.64921,0.43912,0.5717,0.35857,0.62388,0.42214,0.54975,0.32268,1.38842,2.51424,0.9477,1.06552,0,0.000121099,0.000121099,0.000121099
