epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1219.48,1.41729,2.67973,0.97194,1.07574,0,0.64864,0.44873,0.57872,0.36767,0.62814,0.43428,0.56053,0.32168,1.37518,2.57753,0.93196,1.05424,0,0.00110472,0.000368241,0.00110472,0.000368241,0.00110472,0.000368241,0.00110472,0.000368241
2,2578.03,1.41047,2.65064,0.97,1.07518,0,0.65501,0.44651,0.57957,0.36772,0.63311,0.43115,0.56003,0.32029,1.37559,2.57853,0.93732,1.05226,0,0.00199637,0.000665456,0.00199637,0.000665456,0.00199637,0.000665456,0.00199637,0.000665456
3,3785.92,1.4141,2.65599,0.97202,1.07343,0,0.66434,0.43632,0.57828,0.36718,0.64331,0.42264,0.56053,0.32314,1.38485,2.59309,0.94357,1.0555,0,0.00266803,0.000889344,0.00266803,0.000889344,0.00266803,0.000889344,0.00266803,0.000889344
4,4954.3,1.41461,2.65851,0.96993,1.073,0,0.6324,0.45077,0.57176,0.35844,0.61041,0.43489,0.55283,0.31398,1.39509,2.5883,0.94789,1.05422,0,0.0023431,0.000781033,0.0023431,0.000781033,0.0023431,0.000781033,0.0023431,0.000781033
5,6120.29,1.4084,2.64213,0.96524,1.07092,0,0.64935,0.44628,0.57668,0.36633,0.62895,0.43184,0.55923,0.31966,1.37618,2.58545,0.93772,1.05436,0,0.00201313,0.000671044,0.00201313,0.000671044,0.00201313,0.000671044,0.00201313,0.000671044
6,7289.87,1.40183,2.63662,0.95723,1.06846,0,0.65838,0.44877,0.58217,0.36974,0.63624,0.43361,0.56307,0.3239,1.36992,2.5658,0.9292,1.05044,0,0.00168316,0.000561055,0.00168316,0.000561055,0.00168316,0.000561055,0.00168316,0.000561055
7,8448.63,1.39577,2.62438,0.95427,1.0663,0,0.6494,0.45524,0.58233,0.37043,0.62831,0.44017,0.56305,0.32361,1.36548,2.56082,0.92659,1.04787,0,0.0013532,0.000451066,0.0013532,0.000451066,0.0013532,0.000451066,0.0013532,0.000451066
8,9610.14,1.39539,2.6099,0.95107,1.06599,0,0.65718,0.45057,0.58382,0.3705,0.63619,0.43606,0.56596,0.32563,1.36943,2.55519,0.92628,1.04827,0,0.00102323,0.000341077,0.00102323,0.000341077,0.00102323,0.000341077,0.00102323,0.000341077
9,10783.1,1.38725,2.60474,0.94526,1.06335,0,0.65077,0.45447,0.58322,0.37174,0.63011,0.44003,0.56475,0.32486,1.35827,2.5432,0.92007,1.04487,0,0.000693264,0.000231088,0.000693264,0.000231088,0.000693264,0.000231088,0.000693264,0.000231088
10,11954.6,1.38279,2.60039,0.94368,1.06179,0,0.65346,0.45553,0.58512,0.37271,0.63296,0.44105,0.56714,0.32649,1.36017,2.54698,0.9181,1.04482,0,0.000363297,0.000121099,0.000363297,0.000121099,0.000363297,0.000121099,0.000363297,0.000121099
