epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,494.821,1.68028,3.32332,3.67857,0.00755,9.68097,0,0,0,0,0,0,0,0,1.51704,2.96269,3.05949,0.00888,0,0.000365117,0.000365117,0.000365117
2,958.574,1.67081,2.82663,2.29574,0.00731,2.70269,0.55268,0.17228,0.34885,0.21522,0.54272,0.16966,0.34203,0.19544,1.63682,2.93598,2.18073,0.00997,0,0.00073181,0.00073181,0.00073181
3,1374.5,1.67313,2.76695,2.0157,0.00724,1.94562,0.61328,0.30903,0.45722,0.29437,0.60674,0.30469,0.44972,0.26256,1.63674,2.85171,1.85428,0.01001,0,0.00109484,0.00109484,0.00109484
4,1804.54,1.6769,2.71667,1.90193,0.00739,1.64766,0.55709,0.37334,0.46206,0.28773,0.54652,0.36553,0.45342,0.2559,1.67669,2.84742,1.86667,0.01023,0,0.0010945,0.0010945,0.0010945
5,2239.65,1.66048,2.6718,1.83893,0.00745,1.57506,0.63572,0.3651,0.5078,0.31596,0.62201,0.35905,0.49676,0.29272,1.69897,2.78934,1.80182,0.01045,0,0.001089,0.001089,0.001089
6,2644.8,1.66048,2.66075,1.772,0.00733,1.54958,0.65559,0.37398,0.52166,0.32841,0.64804,0.36957,0.51633,0.29942,1.68543,2.83297,1.72031,0.01016,0,0.0010835,0.0010835,0.0010835
7,3090.35,1.66217,2.62891,1.70726,0.00726,1.475,0.6692,0.38901,0.53538,0.3481,0.66406,0.38656,0.53347,0.32585,1.6277,2.69612,1.68314,0.00999,0,0.001078,0.001078,0.001078
8,3557.38,1.6601,2.63336,1.68828,0.00724,1.46523,0.71279,0.3781,0.55358,0.35774,0.70177,0.37187,0.545,0.32874,1.69002,2.66118,1.65437,0.01019,0,0.0010725,0.0010725,0.0010725
9,3930.11,1.64308,2.5872,1.64022,0.0072,1.40202,0.68363,0.42919,0.57112,0.37668,0.67536,0.42462,0.56484,0.3486,1.59115,2.59906,1.57051,0.00948,0,0.001067,0.001067,0.001067
10,4430.35,1.63866,2.56491,1.59974,0.00703,1.35456,0.67632,0.41805,0.55933,0.36973,0.66971,0.4141,0.55525,0.34703,1.63155,2.5967,1.58726,0.00979,0,0.0010615,0.0010615,0.0010615
11,4821.56,1.65889,2.59149,1.60272,0.00703,1.37435,0.71714,0.40402,0.57347,0.38287,0.70838,0.39978,0.56686,0.36025,1.61857,2.61725,1.57188,0.00966,0,0.00105601,0.00105601,0.00105601
12,5276.27,1.628,2.53644,1.5743,0.00708,1.32372,0.65707,0.45477,0.57578,0.37943,0.64433,0.44591,0.5656,0.34864,1.62363,2.63946,1.53837,0.00958,0,0.00105051,0.00105051,0.00105051
13,5686.42,1.62581,2.53099,1.57183,0.00712,1.34887,0.6635,0.45361,0.58157,0.38638,0.65474,0.4479,0.57406,0.3548,1.59892,2.65288,1.52665,0.00946,0,0.00104501,0.00104501,0.00104501
14,6139.45,1.65137,2.55048,1.54886,0.00695,1.32166,0.68091,0.44757,0.58269,0.38974,0.67158,0.44257,0.5765,0.35984,1.57753,2.54034,1.52215,0.00921,0,0.00103951,0.00103951,0.00103951
15,6553.5,1.64277,2.53725,1.54137,0.00703,1.31609,0.63888,0.47065,0.57382,0.3739,0.63038,0.46481,0.56801,0.34392,1.63537,2.55538,1.53425,0.00967,0,0.00103401,0.00103401,0.00103401
