epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
16,6961.12,1.61939,2.49536,1.52205,0.00699,1.28685,0.69082,0.45194,0.58822,0.38799,0.68003,0.44569,0.581,0.36043,1.62867,2.52599,1.52426,0.00958,0,0.00102851,0.00102851,0.00102851
17,7448.83,1.63173,2.52566,1.51842,0.00693,1.2989,0.68665,0.44415,0.58412,0.39369,0.6784,0.43933,0.57777,0.36539,1.59439,2.55806,1.50713,0.00948,0,0.00102301,0.00102301,0.00102301
18,7917.28,1.62816,2.50219,1.5023,0.00697,1.25909,0.7005,0.44388,0.59042,0.39367,0.69268,0.43882,0.58535,0.36868,1.61881,2.52841,1.51201,0.00971,0,0.00101751,0.00101751,0.00101751
19,8344.26,1.63275,2.50827,1.51328,0.00702,1.26886,0.71008,0.43959,0.59031,0.39793,0.70443,0.43613,0.58617,0.3709,1.59085,2.55004,1.49535,0.0095,0,0.00101201,0.00101201,0.00101201
20,8748.66,1.61402,2.48184,1.49693,0.00694,1.25295,0.6832,0.46319,0.59127,0.38783,0.67324,0.45686,0.5845,0.35794,1.62384,2.57825,1.49802,0.00947,0,0.00100651,0.00100651,0.00100651
21,9199.71,1.62102,2.49655,1.48067,0.00682,1.22772,0.69036,0.46259,0.59364,0.40509,0.68623,0.45985,0.59034,0.3747,1.57186,2.50932,1.47718,0.00927,0,0.00100101,0.00100101,0.00100101
22,9618.8,1.61666,2.49797,1.4846,0.00692,1.2243,0.73641,0.44239,0.6058,0.41338,0.72731,0.43768,0.60004,0.38412,1.59154,2.51023,1.4689,0.00928,0,0.000995512,0.000995512,0.000995512
23,10053.3,1.62635,2.48287,1.48917,0.00699,1.23486,0.65359,0.49231,0.59867,0.39095,0.64649,0.48739,0.59412,0.36153,1.61367,2.52442,1.4942,0.00936,0,0.000990012,0.000990012,0.000990012
24,10525.6,1.61944,2.47994,1.46804,0.00689,1.19448,0.69818,0.46939,0.60697,0.41691,0.68824,0.46365,0.5993,0.37737,1.55476,2.5036,1.45947,0.00896,0,0.000984513,0.000984513,0.000984513
25,10981.8,1.6166,2.47128,1.45999,0.00678,1.17591,0.70539,0.46571,0.60825,0.41416,0.69057,0.45647,0.59758,0.37761,1.57036,2.50747,1.45322,0.00914,0,0.000979013,0.000979013,0.000979013
26,11470.9,1.61421,2.47248,1.45636,0.00684,1.18815,0.67705,0.48542,0.60245,0.40423,0.67107,0.48154,0.59817,0.36892,1.58243,2.52128,1.43914,0.00929,0,0.000973514,0.000973514,0.000973514
27,11918.7,1.60298,2.46136,1.43846,0.00673,1.17836,0.68701,0.47541,0.6072,0.41188,0.6771,0.4685,0.59905,0.37221,1.5678,2.55185,1.45318,0.00911,0,0.000968014,0.000968014,0.000968014
