epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,880.257,2.17129,3.74951,3.65161,0.01452,9.12076,0.51066,0.02019,0.26401,0.13253,0.51523,0.01736,0.26442,0.11844,2.13541,3.48593,2.42716,0.01371,0,0.000366125,0.000366125,0.000366125
2,1580.59,2.09958,3.35216,1.98249,0.01289,2.40696,0.53729,0.24852,0.3861,0.20993,0.51675,0.23942,0.36865,0.19375,2.10512,3.36974,1.85473,0.01342,0,0.000663549,0.000663549,0.000663549
3,2279.86,2.09776,3.27134,1.78119,0.01281,1.49854,0.57925,0.27728,0.43108,0.23931,0.56448,0.26949,0.41779,0.2254,2.09369,3.36333,1.75747,0.0138,0,0.000887647,0.000887647,0.000887647
4,3059.37,2.08902,3.21277,1.69219,0.01277,1.40526,0.57462,0.31545,0.45156,0.25267,0.56416,0.30944,0.44186,0.24101,2.08411,3.18704,1.68533,0.01328,0,0.000781033,0.000781033,0.000781033
5,3774.41,2.06616,3.1503,1.62329,0.01246,1.32157,0.62382,0.30923,0.47345,0.26781,0.61615,0.30369,0.46586,0.26175,2.08626,3.16156,1.61,0.0134,0,0.000671044,0.000671044,0.000671044
6,4441.36,2.04985,3.11317,1.58044,0.01224,1.26861,0.67848,0.30345,0.49438,0.2955,0.66749,0.29747,0.4855,0.27949,2.01644,3.08116,1.56236,0.01248,0,0.000561055,0.000561055,0.000561055
7,5106.36,2.03461,3.06506,1.53546,0.01199,1.20881,0.63587,0.34416,0.49989,0.29065,0.62866,0.33957,0.4929,0.28015,2.02592,2.99884,1.52647,0.01254,0,0.000451066,0.000451066,0.000451066
8,5770.91,2.00779,3.04391,1.50101,0.01177,1.16332,0.67975,0.33035,0.5138,0.31117,0.67245,0.32614,0.50676,0.29699,1.97216,2.96834,1.4863,0.01201,0,0.000341077,0.000341077,0.000341077
9,6441.75,1.98886,2.99579,1.47592,0.01162,1.13229,0.66499,0.34519,0.51598,0.30991,0.65894,0.34075,0.51075,0.29847,1.9582,2.91616,1.46995,0.01198,0,0.000231088,0.000231088,0.000231088
10,7112.06,1.97041,2.9651,1.45364,0.01137,1.09361,0.6591,0.3563,0.52007,0.31553,0.65123,0.35097,0.51283,0.30002,1.93668,2.89142,1.45365,0.01167,0,0.000121099,0.000121099,0.000121099
