epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
24,26987.7,1.80276,2.74738,1.48007,0.00812,1.29751,0.66599,0.45356,0.57897,0.37258,0.65602,0.44689,0.56956,0.34894,1.67418,2.56286,1.47751,0.0098,0,0.000605051,0.000605051,0.000605051
25,28117.3,1.78732,2.72404,1.47228,0.00811,1.25976,0.68554,0.43645,0.5804,0.37235,0.67328,0.42826,0.56631,0.34437,1.6998,2.55592,1.48207,0.01002,0,0.000583053,0.000583053,0.000583053
26,29244.3,1.79447,2.73326,1.4609,0.00805,1.25126,0.69794,0.44559,0.58792,0.38465,0.69149,0.44157,0.58263,0.36509,1.70046,2.58863,1.44302,0.00993,0,0.000561055,0.000561055,0.000561055
27,30380.1,1.8033,2.74244,1.45667,0.00801,1.22723,0.65937,0.45844,0.58105,0.37409,0.65097,0.45232,0.57153,0.3508,1.6811,2.56715,1.46601,0.00986,0,0.000539057,0.000539057,0.000539057
28,31503.5,1.79066,2.71697,1.44285,0.00799,1.20433,0.74676,0.41715,0.59476,0.39851,0.73756,0.41273,0.58946,0.37801,1.67284,2.56331,1.44342,0.00979,0,0.000517059,0.000517059,0.000517059
29,32635.3,1.78786,2.69535,1.43422,0.00794,1.20041,0.69716,0.44717,0.5914,0.38665,0.69107,0.44381,0.58584,0.3679,1.67858,2.56982,1.44729,0.00991,0,0.000495062,0.000495062,0.000495062
30,33747.8,1.7803,2.70004,1.45549,0.00799,1.23858,0.69181,0.45702,0.5923,0.39081,0.6855,0.45284,0.58732,0.37015,1.66048,2.55452,1.42319,0.00977,0,0.000473064,0.000473064,0.000473064
31,34884.6,1.79339,2.70782,1.42971,0.00787,1.19015,0.7173,0.44728,0.5988,0.39333,0.70782,0.44152,0.58987,0.37098,1.66219,2.52224,1.42187,0.00968,0,0.000451066,0.000451066,0.000451066
32,36012.6,1.79453,2.73033,1.43597,0.00784,1.20151,0.69023,0.46269,0.59662,0.38787,0.67943,0.45659,0.58812,0.37274,1.68082,2.5087,1.42657,0.00993,0,0.000429068,0.000429068,0.000429068
33,37137.6,1.77612,2.68626,1.41514,0.00782,1.16477,0.68312,0.45758,0.58704,0.38446,0.67224,0.45107,0.57876,0.36353,1.67873,2.52022,1.42292,0.00971,0,0.00040707,0.00040707,0.00040707
34,38262.1,1.77595,2.69168,1.41511,0.00787,1.14389,0.71491,0.45732,0.60228,0.40191,0.70516,0.45235,0.59566,0.38029,1.65084,2.50728,1.39872,0.00953,0,0.000385073,0.000385073,0.000385073
35,39390.1,1.76986,2.66441,1.41039,0.00774,1.16433,0.72405,0.45164,0.60163,0.40086,0.7156,0.44677,0.59376,0.3798,1.65259,2.49762,1.4022,0.00955,0,0.000363075,0.000363075,0.000363075
36,40520.7,1.76247,2.66953,1.40669,0.00777,1.14943,0.67614,0.47351,0.59565,0.39124,0.66539,0.46644,0.58588,0.36488,1.66372,2.51113,1.39551,0.00956,0,0.000341077,0.000341077,0.000341077
37,41648.1,1.7625,2.65561,1.38641,0.00773,1.11139,0.70026,0.4599,0.59822,0.3989,0.69853,0.45862,0.59552,0.3787,1.64814,2.493,1.38931,0.00955,0,0.000319079,0.000319079,0.000319079
38,42770.7,1.75139,2.64759,1.38196,0.00774,1.11416,0.70329,0.46511,0.60356,0.39805,0.69682,0.46119,0.59747,0.3765,1.6537,2.47988,1.393,0.00961,0,0.000297081,0.000297081,0.000297081
39,43904.2,1.75693,2.64271,1.37949,0.00773,1.09692,0.68224,0.48197,0.60206,0.39392,0.67216,0.47468,0.59216,0.37115,1.65753,2.46968,1.39468,0.00958,0,0.000275084,0.000275084,0.000275084
40,45036.8,1.75337,2.63798,1.37384,0.00769,1.07791,0.71613,0.46811,0.60902,0.40454,0.70357,0.46047,0.59878,0.37928,1.64097,2.47652,1.37587,0.0094,0,0.000253086,0.000253086,0.000253086
41,45993.5,1.72327,2.57309,1.3663,0.0088,0.89935,0.71346,0.46052,0.60403,0.39655,0.70306,0.45424,0.59389,0.37565,1.67704,2.47975,1.38902,0.00964,0,0.000231088,0.000231088,0.000231088
42,46963.9,1.70266,2.52753,1.31963,0.00854,0.84285,0.68665,0.47846,0.60582,0.40053,0.67559,0.47136,0.59592,0.37297,1.64519,2.47063,1.37957,0.00944,0,0.00020909,0.00020909,0.00020909
43,47907.7,1.70244,2.5297,1.31223,0.00847,0.83128,0.67692,0.48986,0.60996,0.39827,0.66439,0.48128,0.59822,0.37208,1.65746,2.47317,1.37851,0.00949,0,0.000187092,0.000187092,0.000187092
44,48864.5,1.69544,2.51486,1.29868,0.00843,0.82327,0.70574,0.47677,0.61151,0.40302,0.69265,0.46873,0.60056,0.37791,1.64669,2.47409,1.38046,0.00942,0,0.000165095,0.000165095,0.000165095
45,49818.2,1.69141,2.5019,1.29706,0.00838,0.81388,0.69997,0.47549,0.61136,0.40656,0.69067,0.46976,0.6008,0.37774,1.63858,2.46209,1.37348,0.00933,0,0.000143097,0.000143097,0.000143097
46,50783,1.69424,2.51344,1.2901,0.00835,0.7995,0.67811,0.49168,0.61069,0.40362,0.67057,0.48614,0.60187,0.3769,1.6388,2.46499,1.37462,0.00934,0,0.000121099,0.000121099,0.000121099
47,51749.4,1.67821,2.48869,1.28312,0.0083,0.78678,0.68404,0.48736,0.60921,0.40505,0.67609,0.48189,0.60141,0.3789,1.63665,2.45069,1.37102,0.00932,0,9.91012e-05,9.91012e-05,9.91012e-05
48,52708.1,1.67353,2.48721,1.28204,0.00825,0.78855,0.68441,0.48825,0.60998,0.40683,0.67764,0.48344,0.60256,0.37948,1.62636,2.45073,1.36659,0.00926,0,7.71034e-05,7.71034e-05,7.71034e-05
49,53719.2,1.67737,2.48346,1.27712,0.0083,0.78025,0.68916,0.48533,0.61036,0.40618,0.68263,0.48104,0.60346,0.38153,1.63409,2.44946,1.36838,0.00929,0,5.51056e-05,5.51056e-05,5.51056e-05
50,54725.2,1.68226,2.48549,1.27811,0.00827,0.78055,0.68975,0.48751,0.61225,0.40637,0.68084,0.48145,0.60265,0.38001,1.63505,2.44254,1.36541,0.00929,0,3.31078e-05,3.31078e-05,3.31078e-05
