epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,1122.14,1.9338,3.53366,3.76075,0.00964,9.60497,0.1668,0.01929,0.09315,0.06219,0.15992,0.01849,0.08904,0.05674,1.75807,3.25704,3.06292,0.01103,0,0.000365117,0.000365117,0.000365117
2,2239.31,1.89934,3.13866,2.22105,0.00896,2.78274,0.53039,0.19747,0.35421,0.1976,0.52061,0.19312,0.34427,0.18111,1.86943,3.17414,2.24422,0.01149,0,0.000720889,0.000720889,0.000720889
3,3370.59,1.88711,3.06119,1.96281,0.00902,2.0115,0.59731,0.26204,0.42625,0.24915,0.5892,0.2572,0.41801,0.23541,1.85922,3.07518,2.02933,0.0121,0,0.00106199,0.00106199,0.00106199
4,4492.19,1.89866,3.03696,1.87589,0.00893,1.76144,0.62263,0.30691,0.45588,0.27889,0.60922,0.29997,0.44498,0.25689,1.79466,3.15075,1.84783,0.01129,0,0.00104501,0.00104501,0.00104501
5,5606.58,1.88304,2.99627,1.81287,0.00882,1.68203,0.631,0.35052,0.49691,0.30084,0.61937,0.34441,0.48727,0.28565,1.83774,2.8518,1.79682,0.01146,0,0.00102301,0.00102301,0.00102301
6,6725.86,1.87493,2.94861,1.77263,0.00894,1.64946,0.63302,0.3728,0.51063,0.31769,0.62149,0.36628,0.50085,0.29539,1.73404,2.7957,1.71573,0.01069,0,0.00100101,0.00100101,0.00100101
7,7842.35,1.88068,2.94685,1.73013,0.00875,1.60026,0.63483,0.33874,0.4888,0.30355,0.62769,0.3347,0.48311,0.28892,1.78072,2.8039,1.75864,0.01102,0,0.000979013,0.000979013,0.000979013
8,8960.67,1.87321,2.90791,1.68419,0.00864,1.53543,0.70431,0.35057,0.53506,0.33483,0.69335,0.34587,0.52664,0.32223,1.76567,2.70112,1.65821,0.01097,0,0.000957015,0.000957015,0.000957015
9,10090.3,1.86026,2.89658,1.65968,0.0086,1.52355,0.66529,0.37979,0.52622,0.33235,0.65396,0.3726,0.51579,0.31395,1.76037,2.78141,1.62565,0.01056,0,0.000935018,0.000935018,0.000935018
10,11211.2,1.84387,2.8632,1.63614,0.00855,1.50583,0.62494,0.42069,0.53564,0.32953,0.61824,0.4159,0.52761,0.30997,1.75898,2.77025,1.61264,0.01076,0,0.00091302,0.00091302,0.00091302
11,12327,1.84414,2.87067,1.61806,0.00853,1.47336,0.64623,0.4173,0.54518,0.33142,0.63252,0.40795,0.53374,0.31014,1.79811,2.75127,1.62291,0.01103,0,0.000891022,0.000891022,0.000891022
12,13445,1.85082,2.8607,1.62587,0.00853,1.4799,0.68425,0.40824,0.55881,0.35423,0.67547,0.40347,0.55147,0.33798,1.75897,2.67747,1.56816,0.0104,0,0.000869024,0.000869024,0.000869024
13,14566.1,1.8432,2.84676,1.6111,0.00847,1.47456,0.71945,0.36515,0.54849,0.36297,0.70901,0.36038,0.54052,0.33981,1.72656,2.6555,1.55388,0.01036,0,0.000847026,0.000847026,0.000847026
14,15695.6,1.82832,2.81851,1.56742,0.00839,1.38862,0.70398,0.40812,0.5685,0.35337,0.69437,0.40286,0.55962,0.34372,1.76527,2.65367,1.55451,0.01062,0,0.000825029,0.000825029,0.000825029
15,16826.5,1.84016,2.83315,1.56669,0.0084,1.41171,0.72736,0.36734,0.55635,0.3554,0.71695,0.36209,0.54883,0.34439,1.76575,2.66401,1.57781,0.01069,0,0.000803031,0.000803031,0.000803031
16,17965.3,1.85196,2.83597,1.56846,0.00835,1.40474,0.65894,0.43379,0.56315,0.34662,0.64807,0.42684,0.55367,0.33148,1.77633,2.63616,1.53157,0.01094,0,0.000781033,0.000781033,0.000781033
17,19092.7,1.8347,2.82434,1.55434,0.0083,1.40432,0.66507,0.44133,0.5677,0.35853,0.65589,0.43549,0.56029,0.33658,1.73646,2.64212,1.5177,0.01027,0,0.000759035,0.000759035,0.000759035
18,20225.8,1.83776,2.80601,1.54192,0.0083,1.36213,0.6962,0.41031,0.56719,0.36596,0.68454,0.40378,0.55643,0.34664,1.71485,2.64754,1.53159,0.01039,0,0.000737037,0.000737037,0.000737037
19,21350.6,1.83034,2.78188,1.53281,0.00827,1.34167,0.71975,0.40594,0.57587,0.37578,0.71279,0.40272,0.57055,0.3549,1.69903,2.63937,1.49856,0.01021,0,0.00071504,0.00071504,0.00071504
20,22471.2,1.81152,2.77122,1.52338,0.00829,1.33577,0.63827,0.45927,0.56569,0.3568,0.62723,0.4511,0.556,0.33064,1.70579,2.57235,1.5246,0.01006,0,0.000693042,0.000693042,0.000693042
21,23594.2,1.80256,2.75567,1.50092,0.00815,1.30927,0.68754,0.43468,0.57676,0.37261,0.67917,0.42932,0.56619,0.35156,1.70961,2.59174,1.47802,0.01003,0,0.000671044,0.000671044,0.000671044
22,24723.6,1.80697,2.75739,1.4981,0.00818,1.28854,0.66921,0.44928,0.57757,0.36845,0.6617,0.44467,0.57202,0.348,1.72627,2.59885,1.46771,0.01026,0,0.000649046,0.000649046,0.000649046
23,25861.7,1.81576,2.75744,1.49177,0.00813,1.27977,0.71373,0.42472,0.58282,0.3764,0.7099,0.42253,0.57881,0.35938,1.71476,2.59046,1.46289,0.01016,0,0.000627048,0.000627048,0.000627048
